x;p1;p2;p3;p4
0.42;1.11306e-005;5.28855e-008;5.52384e-006;4.43822e-006
0.425;1.35993e-006;-1.36891e-005;2.26502e-006;5.55311e-006
0.43;-5.16016e-007;-2.03987e-005;-1.25804e-006;6.63287e-006
0.435;-8.34891e-006;-1.51207e-005;-4.883e-006;7.67213e-006
0.44;-1.91063e-005;-1.67821e-006;-8.42759e-006;8.66606e-006
0.445;2.83847e-005;1.0279e-005;-1.17017e-005;9.61041e-006
0.45;6.37012e-006;1.33976e-005;-1.45209e-005;1.05015e-005
0.455;-3.1407e-006;8.41677e-006;-1.67195e-005;1.13362e-005
0.46;-1.59552e-005;2.16111e-006;-1.8164e-005;1.2112e-005
0.465;-1.0032e-005;6.83976e-008;-1.87633e-005;1.2827e-005
0.47;1.22092e-005;1.0972e-006;-1.84766e-005;1.34799e-005
0.475;1.41021e-005;3.94034e-008;-1.73182e-005;1.407e-005
0.48;7.73372e-006;-5.79143e-006;-1.53572e-005;1.4597e-005
0.485;-2.54623e-005;-1.29657e-005;-1.27145e-005;1.50614e-005
0.49;-5.74588e-006;-1.51125e-005;-9.55432e-006;1.54639e-005
0.495;1.26824e-005;-9.15041e-006;-6.07365e-006;1.58061e-005
0.5;6.13803e-006;1.90825e-006;-2.48839e-006;1.60896e-005
0.505;-1.13468e-006;1.18324e-005;9.81884e-007;1.63167e-005
0.51;-3.73352e-006;1.6137e-005;4.12956e-006;1.64902e-005
0.515;2.68963e-006;1.43394e-005;6.77382e-006;1.66129e-005
0.52;-1.35083e-005;8.45572e-006;8.77356e-006;1.66882e-005
0.525;7.43573e-006;5.77189e-007;1.00372e-005;1.67197e-005
0.53;7.26e-006;-7.64283e-006;1.05289e-005;1.6711e-005
0.535;4.67217e-006;-1.39137e-005;1.02704e-005;1.6666e-005
0.54;-8.46169e-006;-1.51699e-005;9.33842e-006;1.65889e-005
0.545;-1.3393e-005;-9.57626e-006;7.85782e-006;1.64838e-005
0.55;1.35121e-005;1.16134e-006;5.99135e-006;1.63546e-005
0.555;4.20774e-006;1.19514e-005;3.92608e-006;1.62055e-005
0.56;8.31612e-008;1.73489e-005;1.85829e-006;1.60404e-005
0.565;-1.23324e-005;1.49904e-005;-2.24669e-008;1.58632e-005
0.57;1.14727e-005;6.68255e-006;-1.54855e-006;1.56776e-005
